Pos,StartNr,Naam,Team,1_Swim,1_T1,1_Bike,1_T2,1_Run,Mix1,2_Run,2_T1,2_Bike,2_T2,2_Swim,Mix2,3_Bike,3_T1,3_Swim,3_T2,3_Run,Mix3,Totaal,Divisie
53,74,Sander de Bart,TV Breda,02:59,58.2,07:45,37.6,05:42,18:01,05:43,49.6,07:24,42.2,02:56,17:33,08:44,43.5,02:57,01:16,05:50,19:29,01:15:05,ere divisie
54,39,Rob Musters,Kijani - Beesd,02:53,59.9,06:53,52,05:54,17:31,06:29,57.3,07:31,43.7,02:48,18:28,08:05,41.9,02:53,01:24,06:00,19:03,01:15:14,ere divisie
55,77,Hidde Weersma,Team UnLtd - Rotterdam,02:48,51,07:00,48,06:03,17:29,06:05,51.9,07:25,41.3,03:02,18:04,08:10,39.8,03:08,01:25,06:19,19:40,01:15:21,ere divisie
56,57,Wilbert Grooters,De Dolfijn - Amsterdam,02:29,46.9,07:06,42.8,07:00,18:04,06:40,47,07:19,37.7,02:36,17:58,08:12,43.4,02:46,01:18,06:21,19:19,01:15:24,ere divisie
57,78,Niels Persoon,Team UnLtd - Rotterdam,02:55,51.4,07:05,42.6,06:14,17:48,06:16,48.5,07:35,43.3,02:57,18:19,07:59,41.5,02:59,01:22,06:12,19:12,01:15:32,ere divisie
58,60,Leander van Diggelen,De Dolfijn - Amsterdam,02:41,55.6,07:00,50.8,06:20,17:47,06:16,52.3,07:41,41.2,02:41,18:10,08:18,39.4,02:43,01:22,06:35,19:36,01:15:34,ere divisie
59,50,Camiel Villa Rikkers,Hellas - Utrecht,02:36,53.6,06:55,46.3,06:38,17:48,06:29,48.8,07:32,43.8,02:41,18:14,08:13,40.4,02:49,01:25,06:24,19:31,01:15:36,ere divisie
60,59,Joey Damen,De Dolfijn - Amsterdam,02:45,58.1,06:52,52.5,06:32,17:58,06:03,53.8,07:41,40.6,02:58,18:15,08:01,40.3,03:10,01:21,06:22,19:34,01:15:50,ere divisie
61,22,Lex Habraken,EDO Sports - Maastricht,02:39,53.6,07:06,53.5,06:26,17:57,06:34,48.6,07:32,43.3,02:34,18:11,08:06,43,02:37,01:28,06:49,19:42,01:15:54,ere divisie
62,11,Stefan Timmermans,VISMA / TriCan - Arnhem,02:43,54.1,07:18,54.1,06:40,18:28,06:14,48.9,07:38,43.8,02:45,18:09,08:40,39.8,02:44,01:24,06:58,20:25,01:17:06,ere divisie
63,26,Jonas Küpper,TC Twente - Enschede,02:46,57.3,07:37,45.9,06:30,18:35,06:27,51.2,07:57,39,02:40,18:32,08:44,41.9,02:47,01:27,06:39,20:16,01:17:27,ere divisie
64,4,Youri Vaes,Squadra - Eindhoven,02:52,59.4,07:27,49.2,06:46,18:53,06:28,48.2,07:39,40.3,02:54,18:29,08:29,45.7,03:02,01:25,06:44,20:23,01:17:48,ere divisie
65,75,Erwin Langeler,TV Breda,02:56,58.9,07:48,45.2,06:23,18:50,06:15,50.3,07:55,42,02:52,18:33,09:09,50.6,03:12,01:19,06:38,21:08,01:18:35,ere divisie
66,21,Sven Bams,EDO Sports - Maastricht,02:43,52.3,07:04,49.7,07:36,19:04,07:04,51.7,08:01,44.7,02:47,19:27,09:13,43.4,02:54,01:26,07:17,21:32,01:20:05,ere divisie
67,71,Izar van Gool,TV Breda,03:30,57.8,08:30,50.9,06:16,20:04,06:01,51.8,08:04,42.3,03:20,18:58,09:20,42.5,03:25,01:28,06:46,21:40,01:20:46,ere divisie
68,53,Freek de Boer,ZSC Oceanus - Aalsmeer,02:55,59.2,07:25,47.4,07:26,19:31,06:50,49,08:39,49.7,02:58,20:05,09:52,48.4,03:06,01:32,06:59,22:16,01:21:56,ere divisie
1,2,Rutger Duursma,Triteam Groningen,02:47,43.5,07:24,39.2,05:45,17:18,05:48,42.9,07:33,36,02:42,17:21,08:31,34.7,02:40,01:05,05:38,18:27,01:13:09,1e divisie
2,6,Tjardo Visser,TVA - Almere,02:42,41.6,07:30,41.3,05:43,17:17,05:49,43.7,07:32,36.1,02:43,17:22,08:30,35.8,02:41,01:12,06:07,19:04,01:13:47,1e divisie
3,36,Vincent Böhm,Innovative Group / VZC - Veenendaal,02:38,53.3,07:31,44.7,05:43,17:29,05:46,52.6,07:39,36.8,02:36,17:30,08:37,37.4,02:44,01:13,05:48,18:57,01:13:58,1e divisie
4,50,Gjalt Panjer,Sanders Puzzelboeken / Aquapoldro - Apeldoorn,02:45,46.6,07:31,42.8,05:54,17:39,05:45,45.5,07:37,41,02:42,17:30,08:25,39.4,02:48,01:12,06:01,19:04,01:14:17,1e divisie
5,3,Niels Grote Beverborg,Triteam Groningen,02:56,54.5,07:14,42.7,05:57,17:44,05:58,49.4,07:15,38.7,02:56,17:36,08:13,39.7,02:56,01:14,06:07,19:09,01:14:33,1e divisie
6,4,Bram Smit,Triteam Groningen,03:05,53.6,07:10,53,05:54,17:55,05:51,46.6,07:13,36.5,03:02,17:28,08:11,37.1,03:23,01:11,05:59,19:19,01:14:47,1e divisie
7,12,Aaron Lynch,Hellas 2 - Utrecht,03:06,54.1,08:00,42,05:55,18:37,05:53,47.5,07:24,41.2,02:44,17:29,08:06,43.2,02:54,01:13,05:48,18:44,01:14:55,1e divisie
8,1,Jacob Veenstra,Triteam Groningen,02:54,55.2,07:16,51.2,05:54,17:50,05:54,51.9,07:34,45.4,02:56,18:00,08:13,44.4,02:56,01:18,05:58,19:08,01:15:03,1e divisie
